product_code,product_name,product_description,price,currency,availability_status,color_name,weight_value,dimension_value,power_supply,subcategory_name,brand_name,manufacturer_name
PROD-91790,Dialysis Machine,Dialysis Machine is a high-quality product.,35763.61,USD,in stock,Black,6.32,76x149x176cm,220V,Plastic Surgery Lasers,Baxter,Olympus Corp
PROD-89883,Patient Monitor,Patient Monitor is a high-quality product.,1269.76,USD,discontinued,Red,60.5,144x24x113cm,110V,Respirators,Baxter,Shimadzu Medical
PROD-36226,Patient Monitor,Patient Monitor is a high-quality product.,26969.33,EUR,backorder,Gray,81.64,68x116x170cm,Battery,Cardiovascular Stents,B.Braun,GE Healthcare
PROD-26746,Surgical Laser,Surgical Laser is a high-quality product.,7990.73,USD,in stock,Gray,71.49,186x131x164cm,Multi-Voltage,ECG Machines,Stryker,Fujifilm Healthcare
PROD-73988,MRI Scanner,MRI Scanner is a high-quality product.,36686.42,GBP,in stock,Gray,29.09,162x114x114cm,Multi-Voltage,Medical Examination Tables,Johnson & Johnson,Terumo
PROD-38998,Defibrillator,Defibrillator is a high-quality product.,25198.85,GBP,backorder,Black,8.28,170x94x187cm,Battery,Lasers,Baxter,GE Healthcare
PROD-92521,Ultrasound Machine,Ultrasound Machine is a high-quality product.,21707.91,EUR,in stock,Yellow,92.2,198x54x131cm,220V,Laboratory Analyzers,Drager,Terumo
PROD-54552,Incubator,Incubator is a high-quality product.,32117.42,EUR,discontinued,Yellow,97.22,101x79x147cm,120-240V,Pulmonary Function Testers,Medtronic,Canon Medical Systems
PROD-16588,Endoscope,Endoscope is a high-quality product.,39570.39,USD,out of stock,Green,94.39,100x95x10cm,Battery,Laboratory Analyzers,Zimmer Biomet,Johnson & Johnson Medical
PROD-73752,CT Scanner,CT Scanner is a high-quality product.,20482.9,USD,backorder,Red,42.49,88x49x49cm,120-240V,Plastic Surgery Lasers,Johnson & Johnson,B.Braun Melsungen
PROD-69045,Respirator,Respirator is a high-quality product.,11685.37,USD,in stock,Blue,27.9,135x21x33cm,120-240V,Dental X-Ray Machines,3M,Canon Medical Systems
PROD-38269,Infusion Pump,Infusion Pump is a high-quality product.,27513.52,GBP,in stock,Red,45.68,101x77x195cm,120-240V,Plastic Surgery Lasers,3M,B.Braun Melsungen
PROD-41834,Infusion Pump,Infusion Pump is a high-quality product.,13082.33,GBP,discontinued,White,95.05,81x196x95cm,110V,Cardiovascular Stents,Roche,Olympus Corp
PROD-77923,Infusion Pump,Infusion Pump is a high-quality product.,46215.47,USD,backorder,Red,65.97,199x132x144cm,220V,Infusion Pumps,BD,Boston Scientific Corp
PROD-90934,Ultrasound Machine,Ultrasound Machine is a high-quality product.,15017.69,EUR,discontinued,Gray,81.97,15x165x29cm,220V,Regenerative Medicine Scaffolds,Canon Medical,Hitachi Medical
PROD-63329,Holter Monitor,Holter Monitor is a high-quality product.,49095.97,EUR,out of stock,Yellow,71.17,53x182x125cm,Multi-Voltage,Palliative Care Beds,Mindray,Philips Medical
PROD-77941,Defibrillator,Defibrillator is a high-quality product.,33172.49,GBP,in stock,Black,68.29,71x189x74cm,110V,Plastic Surgery Lasers,Johnson & Johnson,Terumo
PROD-65527,Operating Microscope,Operating Microscope is a high-quality product.,11099.53,GBP,out of stock,Red,83.29,173x188x12cm,Battery,Regenerative Medicine Scaffolds,Roche,Terumo
PROD-20489,Sterilizer,Sterilizer is a high-quality product.,6469.76,EUR,discontinued,Blue,1.42,118x199x30cm,110V,Speech Therapy Devices,Philips,GE Healthcare
PROD-89218,X-Ray Machine,X-Ray Machine is a high-quality product.,38383.3,EUR,discontinued,Green,17.6,101x79x147cm,220V,Palliative Care Beds,BD,Philips Medical
PROD-70571,Operating Microscope,Operating Microscope is a high-quality product.,5082.19,EUR,discontinued,Red,12.86,79x191x159cm,110V,Regenerative Medicine Scaffolds,Stryker,Abbott Laboratories
PROD-65425,Defibrillator,Defibrillator is a high-quality product.,2257.89,USD,discontinued,White,34.95,38x91x48cm,Battery,Lasers,Roche,GE Healthcare
